mean/gen/time/time_elapsed,mean/gen/train/learning_rate,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/train/explained_variance,mean/disc/global_step,mean/gen/train/clip_fraction,mean/gen/train/n_updates,mean/disc/disc_acc_expert,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_len_mean,mean/gen/time/total_timesteps,mean/disc/disc_proportion_expert_pred,mean/gen/train/entropy_loss,mean/disc/disc_acc_gen,mean/disc/disc_entropy,mean/gen/train/clip_range,mean/gen/train/loss,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/n_generated,mean/disc/disc_acc,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/gen/train/policy_gradient_loss,mean/gen/time/iterations,mean/gen/rollout/ep_rew_wrapped_mean
17.0,0.0003,0.013156050816178322,0.11480238147778436,-0.4297386407852173,1.0,0.13702392578125,10.0,1.0,0.8,664.2,8192.0,1.0,-1.7802702317014336,0.0,0.398500956594944,0.2,-0.01034194603562355,1024.0,1.0465533137321472,1024.0,0.5,0.5,464.0,-0.00836479592253454,1.0,
17.0,0.0003,0.010481112636625767,1.022614335559774,0.08869832754135132,2.0,0.09739990234375,20.0,1.0,0.5416666666666666,655.0833333333334,16384.0,1.0,-1.7644326612353325,0.0,0.40999436378479004,0.2,0.17819316685199738,1024.0,1.039408951997757,1024.0,0.5,0.5,468.0,-0.006388146548488294,1.0,71.42108166664839
