raw/agent/rollout/ep_rew_mean,raw/agent/rollout/ep_len_mean,raw/agent/rollout/ep_rew_wrapped_mean,raw/agent/time/total_timesteps,raw/agent/time/iterations,raw/agent/time/fps,raw/agent/time/time_elapsed,raw/agent/train/learning_rate,raw/agent/train/n_updates,raw/agent/train/policy_gradient_loss,raw/agent/train/explained_variance,raw/agent/train/clip_fraction,raw/agent/train/approx_kl,raw/agent/train/entropy_loss,raw/agent/train/clip_range,raw/agent/train/loss,raw/agent/train/value_loss
0.9523809523809523,615.5714285714286,70.27171949421366,16384,1,453,18,,,,,,,,,,
0.6842105263157895,541.7894736842105,102.70508638002417,24576,1,452,18,0.0003,20,-0.005978757132379542,0.1940295696258545,0.11322021484375,0.010784815,-1.7714571258053184,0.2,0.03891570121049881,0.31451883944973813
0.78,564.86,89.50461410365321,32768,1,473,17,0.0003,30,-0.008875905264903849,0.5430230498313904,0.11556396484375,0.010725247,-1.7597857724875212,0.2,0.05982794612646103,0.2759309021115769
0.7142857142857143,563.7142857142857,89.05336286477856,40960,1,473,17,0.0003,40,-0.00797361477943923,0.6628629863262177,0.134375,0.011776118,-1.7503597133792936,0.2,0.06826069205999374,0.2509100453899009
0.7105263157894737,574.1052631578947,86.2408830636181,49152,1,494,16,0.0003,50,-0.0075856871488213075,0.6509780585765839,0.11075439453125,0.010645032,-1.7344438693486155,0.2,0.1345488280057907,0.29832050489494577
0.7045454545454546,588.0227272727273,85.36738424764205,57344,1,491,16,0.0003,60,-0.007939530722615018,0.60441654920578,0.11116943359375,0.010962818,-1.7164337411522865,0.2,-0.005951276049017906,0.32133506509126164
